Date,returns,dd_10,sortino_20,sortino_60,target_SMA_20
1960-01-04,59.90999984741211,0.00211383260688,0.260930073502693,0.0819775639398647,57.83150024414063
1960-01-05,60.38999938964844,0.0020418277082513,0.2582632261104431,0.0819725126499781,57.65300025939941
1960-01-06,60.130001068115234,0.0019722755608053,0.3446281387341747,0.1044932391778626,57.46250019073487
1960-01-07,59.68999862670898,0.0022081733192772,0.2744148891594629,0.0893763838778777,57.2915002822876
1960-01-08,59.5,0.0028568748924741,0.1652090874720443,0.0650045711517295,57.11550025939941
1960-01-11,58.77000045776367,0.002880251225378,0.1241127815515775,0.054553840616513,56.94300022125244
1960-01-12,58.40999984741211,0.0042362305115927,-0.0101154767656325,0.0165794544658602,56.81450023651123
1960-01-13,58.08000183105469,0.004390005753837,-0.0632923161235319,-0.0011504777217595,56.68500022888183
1960-01-14,58.400001525878906,0.0044867812829281,-0.1090098773592838,-0.0171925550889994,56.52400016784668
1960-01-15,58.380001068115234,0.0043339450411202,-0.0617686885945819,-0.0023046123182067,56.37800006866455
1960-01-18,57.88999938964844,0.0041872532876886,-0.0651170140449728,-0.0036625565703732,56.24200000762939
1960-01-19,57.27000045776367,0.0045952723999044,-0.1295667972908175,-0.0269252946327954,56.11499996185303
1960-01-20,57.06999969482422,0.005240879396116,-0.1962906282280666,-0.0546376141991892,56.01299991607666
1960-01-21,57.209999084472656,0.0051426667489663,-0.2184636860415732,-0.0637178360364272,55.94249992370605
1960-01-22,57.380001068115234,0.0049674886403804,-0.1970843500905033,-0.0571128625246231,55.88549995422363
1960-01-25,56.77999877929688,0.0047982777412649,-0.1716366016329432,-0.0490432964693185,55.84349994659424
1960-01-26,56.86000061035156,0.0053741261179837,-0.2307948419357362,-0.0748495102731269,55.7875
1960-01-27,56.720001220703125,0.0051910636535843,-0.2174889971287411,-0.0709490671985923,55.74799995422363
1960-01-28,56.130001068115234,0.005054656208308,-0.2320913267001739,-0.0771411929606931,55.74949989318848
1960-01-29,55.61000061035156,0.0055821658502034,-0.2833747891135752,-0.1013163532102753,55.77499980926514
1960-02-01,55.959999084472656,0.0059055090715029,-0.3253340753811785,-0.1220086528831536,55.777499771118165
1960-02-02,56.81999969482422,0.0057043457529599,-0.2781115685749306,-0.1056735445168407,55.71749973297119
1960-02-03,56.31999969482422,0.0055100347955321,-0.1689191127859214,-0.0664423669610081,55.640499687194826
1960-02-04,56.27000045776367,0.0057930068891543,-0.2172206185829935,-0.0871065216782451,55.55549964904785
1960-02-05,55.97999954223633,0.0056003940743888,-0.2203770033405553,-0.0891141322167739,55.45749969482422
1960-02-08,55.31999969482422,0.0055724281987303,-0.248570068823074,-0.1012005539884544,55.36499977111816
1960-02-09,55.84000015258789,0.0061961287714429,-0.2988639320887533,-0.1259692273293381,55.27499980926514
1960-02-10,55.4900016784668,0.0059850658790332,-0.2345649456084907,-0.1024639448401708,55.19199981689453
1960-02-11,55.18000030517578,0.0060058022738917,-0.2659299452158596,-0.1164136225891569,55.14499988555908
1960-02-12,55.459999084472656,0.0059796303953988,-0.2930746059981632,-0.1288471205815785,55.08799991607666
1960-02-15,55.16999816894531,0.005775942232459,-0.256240059653341,-0.1159920645802844,55.06650009155273
1960-02-16,54.72999954223633,0.0057417817557838,-0.2824391231052888,-0.1276586101949082,55.08200016021728
1960-02-17,55.02999877929688,0.0059206415610739,-0.3185800907922306,-0.1445725701166791,55.07850017547607
1960-02-18,55.79999923706055,0.0057189627743836,-0.2789271501884602,-0.1307989869795041,55.03900012969971
1960-02-19,56.2400016784668,0.005524153907546,-0.184126819900838,-0.0963785928051638,54.980500030517575
1960-02-23,55.93999862670898,0.0053359809458708,-0.1296649587811144,-0.0768552094079011,54.9480001449585
1960-02-24,55.7400016784668,0.0053368278861929,-0.1616884848279203,-0.0893605712994659,54.9480001449585
1960-02-25,55.93000030517578,0.0052376945428216,-0.1826850640250431,-0.0977668144503409,54.950500106811525
1960-02-26,56.15999984741211,0.0050592794387228,-0.1574178488710594,-0.0891765419332399,54.94150009155273
1960-02-29,56.119998931884766,0.0048869418080448,-0.1273322710295597,-0.0788463912860801,54.92850017547608
1960-03-01,56.0099983215332,0.0047240743998342,-0.1312957546214255,-0.0805854388118721,54.917000198364256
1960-03-02,55.619998931884766,0.0045913152043031,-0.143876121089494,-0.0853718360447424,54.91900024414063
1960-03-03,54.77999877929688,0.0047893702719645,-0.1865255564135104,-0.1015759782788607,54.94700031280517
1960-03-04,54.56999969482422,0.0060753651498226,-0.252539366223181,-0.1314259450471905,54.99000034332276
1960-03-07,54.02000045776367,0.0059519928948943,-0.2708508499044134,-0.1395797236554106,55.066000366210936
1960-03-08,53.470001220703125,0.006318676133792,-0.3128058535069864,-0.1592051719862099,55.16100025177002
1960-03-09,54.040000915527344,0.0066532075022284,-0.3510612551944906,-0.1781107187056427,55.28450012207031
1960-03-10,53.83000183105469,0.0064265748302777,-0.2836656016165831,-0.1529823533302535,55.41900005340576
1960-03-11,54.2400016784668,0.0062889011458927,-0.3004832028389625,-0.160817418032404,55.52649993896485
1960-03-14,54.31999969482422,0.0060746780858349,-0.2504438973375064,-0.1425782292334053,55.6189998626709
1960-03-15,54.7400016784668,0.0058677522496315,-0.237904763708666,-0.1385649574898977,55.69699974060059
1960-03-16,55.040000915527344,0.0056678750670496,-0.1866096972602067,-0.1199637667788916,55.759999656677245
1960-03-17,54.959999084472656,0.0054748064350705,-0.1495543934675822,-0.1066374887162761,55.8334997177124
1960-03-18,55.0099983215332,0.005301693909165,-0.1570152512631665,-0.1096732909945262,55.912499809265135
1960-03-21,55.06999969482422,0.005121098751702,-0.14917050763166,-0.107107766214443,55.96549987792969
1960-03-22,55.290000915527344,0.0049466553282807,-0.1400901672575993,-0.1040662228044609,55.97299976348877
1960-03-23,55.7400016784668,0.004778154088256,-0.1113371896930061,-0.0940173032899625,55.96549968719482
1960-03-24,55.97999954223633,0.0046153926190472,-0.0541206573520135,-0.0739604052132944,55.93749961853028
